Demonstration Name,Multiple reaching attempts ,,,Unintentional Needle Drop,,
,Start ,End,Remarks,Start ,End,Remarks
Suturing_B001_80_219,2,3,Anomaly,0,0,
Suturing_B002_5_78,0,0,0,0,0,
Suturing_B003_8_103,0,0,0,0,0,
Suturing_B004_1_46,0,0,0,0,0,
Suturing_B005_1_11,0,0,0,0,0,
Suturing_C001_26_67,0,0,0,0,0,
Suturing_C003_13_49,0,0,0,0,0,
Suturing_C004_2_30,0,0,0,0,0,
Suturing_C005_24_56,0,0,0,0,0,
Suturing_D001_118_145,0,0,0,0,0,
Suturing_D002_31_77,0,0,0,0,0,
Suturing_D003_14_91,0,0,0,0,0,
Suturing_D004_41_98,0,0,0,0,0,
Suturing_D005_21_57,0,0,0,0,0,
Suturing_E001_10_119,1,2,Anomaly,0,0,
Suturing_E002_23_77,0,0,0,0,0,
Suturing_E003_60_142,0,0,0,0,0,
Suturing_E004_57_130,0,0,0,0,0,
Suturing_E005_1_49,0,0,0,0,0,
Suturing_F001_35_85,0,0,0,0,0,
Suturing_F005_11_67,0,0,0,0,0,
Suturing_H001_90_165,0,0,0,0,0,
Suturing_H003_1_90,1,2,Anomaly,0,0,
Suturing_H004_1_75,1,2,Anomaly,0,0,
Suturing_I001_1_30,0,0,0,0,0,
Suturing_I002_1_56,0,0,0,0,0,
Suturing_I003_139_255,2,3,Anomaly,0,0,
Suturing_I004_1_61,0,0,0,0,0,
Suturing_I005_73_151,0,0,0,0,0,
