Demonstration Name,Needle insertion angle not between 60-90,,,Driving needle with more than one stroke,,,Not removing needle along its curve,,
,Start ,End,Remarks,Start ,End,Remarks,Start ,End,Remarks
Suturing_B001_661_954,0,0,Anomaly,136,259,,0,0,
Suturing_B001_1125_1401,0,0,Anomaly,73,273,,0,0,
Suturing_B001_1784_2285,0,0,Anomaly,55,220,,220,344,
Suturing_B001_2751_2976,0,0,0,45,113,,0,0,
Suturing_B001_3660_4011,0,0,Anomaly,60,352,,0,0,
Suturing_B001_4375_4704,0,0,Anomaly,80,205,,210,240,
Suturing_B001_5060_5354,0,0,Anomaly,62,160,,0,0,
Suturing_B002_614_862,0,0,0,0,0,,0,0,
Suturing_B002_1403_1729,0,0,Anomaly,80,132,,217,327,
Suturing_B002_2095_2481,0,0,Anomaly,0,0,,60,385,
Suturing_B002_2937_3127,0,0,Anomaly,0,0,,47,185,
Suturing_B003_222_522,0,0,Anomaly,34,132,,0,0,
Suturing_B003_983_1205,0,0,0,0,0,,0,0,
Suturing_B003_1596_1929,0,0,Anomaly,0,0,,64,133,
Suturing_B003_2437_2683,0,0,Anomaly,0,0,,45,246,
Suturing_B004_129_696,0,0,Anomaly,0,0,,45,566,
Suturing_B004_1800_2186,0,0,Anomaly,0,0,,53,506,
Suturing_B005_517_967,0,0,Anomaly,0,0,,132,450,
Suturing_B005_1262_1489,0,0,Anomaly,0,0,,40,228,
Suturing_B005_1846_2089,0,0,0,0,0,,0,0,
Suturing_B005_2373_2588,0,0,Anomaly,0,0,,30,216,
Suturing_C001_414_781,0,0,0,60,130,,0,0,
Suturing_C001_1355_1581,0,0,0,0,0,,0,0,
Suturing_C001_2017_2253,0,0,0,50,122,,0,0,
Suturing_C001_2624_2782,0,0,0,0,0,,0,0,
Suturing_C002_462_785,0,0,Anomaly,0,0,,60,190,
Suturing_C002_1322_1505,0,0,0,0,0,,0,0,
Suturing_C002_1860_2086,0,0,0,0,0,,0,0,
Suturing_C002_2413_2833,0,0,Anomaly,0,0,,50,101,
Suturing_C003_475_713,0,0,0,0,0,,0,0,
Suturing_C003_1161_1324,0,0,0,0,0,,0,0,
Suturing_C003_1708_1928,0,0,0,0,0,,0,0,
Suturing_C003_2260_2504,0,0,0,0,0,,0,0,
Suturing_C004_314_458,0,0,0,0,0,,0,0,
Suturing_C004_844_1073,0,0,0,0,0,,0,0,
Suturing_C004_1412_1602,0,0,0,0,0,,0,0,
Suturing_C004_1877_2050,0,0,0,0,0,,0,0,
Suturing_C005_300_391,0,0,0,0,0,,0,0,
Suturing_C005_677_858,0,0,0,0,0,,0,0,
Suturing_C005_1361_1491,0,0,0,0,0,,0,0,
Suturing_C005_1751_2188,0,0,Anomaly,0,120,,0,0,
Suturing_D001_426_541,0,0,0,0,0,,0,0,
Suturing_D001_1150_1561,0,0,Anomaly,55,300,,0,0,
Suturing_D001_1883_2066,0,0,0,0,0,,0,0,
Suturing_D001_2314_2583,0,0,0,43,55,,0,0,
Suturing_D002_183_342,0,0,0,0,0,,0,0,
Suturing_D002_722_897,0,0,0,40,80,,0,0,
Suturing_D002_1173_1317,0,0,0,0,0,,0,0,
Suturing_D002_1614_1842,0,0,0,65,100,,0,0,
Suturing_D003_255_417,0,0,0,0,0,,0,0,
Suturing_D003_798_966,0,0,0,30,78,,0,0,
Suturing_D003_1421_1586,0,0,0,0,0,,0,0,
Suturing_D003_1806_2135,0,0,Anomaly,60,245,,0,0,
Suturing_D004_327_477,0,0,0,35,60,,0,0,
Suturing_D004_781_910,0,0,0,0,0,,0,0,
Suturing_D004_1409_1592,0,0,0,0,0,,0,0,
Suturing_D004_2255_2451,0,0,0,41,80,,0,0,
Suturing_D005_295_402,0,0,0,0,0,,0,0,
Suturing_D005_690_820,0,0,0,0,0,,0,0,
Suturing_D005_1116_1249,0,0,0,0,0,,0,0,
Suturing_D005_1497_1625,0,0,0,0,0,,0,0,
Suturing_E001_342_752,0,0,Anomaly,45,149,,0,0,
Suturing_E001_1147_1462,0,0,0,55,135,,0,0,
Suturing_E001_1844_2036,0,0,0,0,0,,0,0,
Suturing_E001_2643_2920,0,0,0,0,0,,0,0,
Suturing_E002_237_631,0,0,0,0,0,,0,0,
Suturing_E002_1052_1257,0,0,0,0,0,,0,0,
Suturing_E002_1570_1770,0,0,0,0,0,,0,0,
Suturing_E002_2094_2362,0,0,0,0,0,,0,0,
Suturing_E003_254_449,0,0,0,0,0,,0,0,
Suturing_E003_745_968,0,0,0,0,0,,0,0,
Suturing_E003_1333_1507,0,0,0,30,88,,0,0,
Suturing_E003_1851_2055,0,0,0,0,0,,0,0,
Suturing_E004_238_537,0,0,Anomaly,0,0,,74,299,
Suturing_E004_868_1121,0,0,0,0,24,,0,0,
Suturing_E004_1485_1668,0,0,0,0,0,,0,0,
Suturing_E004_2189_2415,0,0,0,0,27,,0,0,
Suturing_E005_142_363,0,0,Anomaly,0,0,,30,221,
Suturing_E005_740_897,0,0,0,0,0,,0,0,
Suturing_E005_1217_1417,0,0,0,0,0,,0,0,
Suturing_E005_1698_1877,0,0,0,0,0,,0,0,
Suturing_F001_295_532,0,0,0,0,0,,0,0,
Suturing_F001_935_1145,0,0,0,52,132,,0,0,
Suturing_F001_1476_1701,0,0,0,0,0,,0,0,
Suturing_F001_2200_2498,0,0,0,0,0,,0,0,
Suturing_F002_148_427,0,0,0,0,0,,0,0,
Suturing_F002_768_1040,0,0,0,80,155,,0,0,
Suturing_F002_1337_1522,0,0,0,0,0,,0,0,
Suturing_F002_1777_2047,0,0,0,0,0,,0,0,
Suturing_F003_222_402,0,0,0,0,0,,0,0,
Suturing_F003_646_877,0,0,0,0,0,,0,0,
Suturing_F003_1206_1397,0,0,0,0,0,,0,0,
Suturing_F003_1680_1840,0,0,0,0,0,,0,0,
Suturing_F004_218_416,0,0,0,0,0,,90,199,
Suturing_F004_669_856,0,0,0,50,90,,0,0,
Suturing_F004_1259_1588,0,0,0,0,0,,0,0,
Suturing_F004_1874_2061,0,0,0,40,95,,0,0,
Suturing_F005_250_436,0,0,0,0,0,,0,0,
Suturing_F005_660_813,0,0,0,0,0,,0,0,
Suturing_F005_1051_1221,0,0,0,0,0,,0,0,
Suturing_F005_1471_1675,0,0,0,57,100,,0,0,
Suturing_G001_499_772,0,0,0,50,145,,0,0,
Suturing_G001_1478_2418,0,0,Anomaly,60,940,,0,0,
Suturing_G001_2671_2854,0,0,Anomaly,41,183,,0,0,
Suturing_G001_2991_3111,0,0,0,0,0,,0,0,
Suturing_G001_3565_3646,0,0,0,0,0,,0,0,
Suturing_G001_4097_4276,0,0,0,0,0,,0,0,
Suturing_G001_4836_5003,0,0,0,0,0,,0,0,
Suturing_G001_5633_5846,0,0,0,0,0,,0,0,
Suturing_G001_6521_7627,0,0,Anomaly,70,1106,,0,0,
Suturing_G001_8281_8675,0,0,Anomaly,110,178,,0,0,
Suturing_G002_240_479,0,0,0,100,155,,0,0,
Suturing_G002_906_1287,,,0,,,,,,
Suturing_G002_1628_1889,,,0,,,,,,
Suturing_G002_2233_2462,,,Anomaly,,,,,,
Suturing_G002_2671_3010,,,Anomaly,,,,,,
Suturing_G003_484_689,,,0,,,,,,
Suturing_G003_1110_1229,,,0,,,,,,
Suturing_G003_1726_1992,,,Anomaly,,,,,,
Suturing_G003_2230_2705,,,Anomaly,,,,,,
Suturing_G003_4535_4820,,,0,,,,,,
Suturing_G004_478_665,,,0,,,,,,
Suturing_G004_1022_1176,,,0,,,,,,
Suturing_G004_1489_1752,,,0,,,,,,
Suturing_G004_2092_2283,,,0,,,,,,
Suturing_G005_249_445,,,0,,,,,,
Suturing_G005_806_933,,,0,,,,,,
Suturing_G005_1236_1562,,,0,,,,,,
Suturing_G005_1926_2148,,,0,,,,,,
Suturing_H001_711_1462,,,Anomaly,,,,,,
Suturing_H001_2008_2275,,,0,,,,,,
Suturing_H001_3623_3963,,,0,,,,,,
Suturing_H001_4569_4975,,,Anomaly,,,,,,
Suturing_H003_553_908,,,Anomaly,,,,,,
Suturing_H003_1493_1708,,,0,,,,,,
Suturing_H003_2091_2432,,,Anomaly,,,,,,
Suturing_H003_2808_3008,,,0,,,,,,
Suturing_H004_476_660,,,0,,,,,,
Suturing_H004_1296_1533,,,0,,,,,,
Suturing_H004_2402_2631,,,0,,,,,,
Suturing_H004_3150_3566,,,Anomaly,,,,,,
Suturing_H005_414_619,,,0,,,,,,
Suturing_H005_1129_1429,,,Anomaly,,,,,,
Suturing_H005_1934_2288,,,Anomaly,,,,,,
Suturing_H005_2739_2998,,,0,,,,,,
Suturing_I001_509_876,,,Anomaly,,,,,,
Suturing_I001_1352_1621,,,0,,,,,,
Suturing_I001_2130_2507,,,Anomaly,,,,,,
Suturing_I001_3509_3813,,,Anomaly,,,,,,
Suturing_I002_640_1105,,,Anomaly,,,,,,
Suturing_I002_1943_2313,,,Anomaly,,,,,,
Suturing_I002_2972_3307,,,0,,,,,,
Suturing_I002_3815_4209,,,0,,,,,,
Suturing_I003_2016_2241,,,0,,,,,,
Suturing_I003_2867_3346,,,Anomaly,,,,,,
Suturing_I003_3794_4025,,,0,,,,,,
Suturing_I004_542_800,,,0,,,,,,
Suturing_I004_1521_1865,,,0,,,,,,
Suturing_I004_2493_2893,,,0,,,,,,
Suturing_I004_3339_3552,,,0,,,,,,
Suturing_I005_659_1198,,,Anomaly,,,,,,
Suturing_I005_1696_1979,,,0,,,,,,
Suturing_I005_2524_2835,,,0,,,,,,
Suturing_I005_3235_3564,,,0,,,,,,
