Demonstration Name,Tools out of view while pulling Needle,,
,Start ,End,Remarks
Suturing_B001_2286_2495,,,Anomaly
Suturing_B001_2977_3155,,,Anomaly
Suturing_B001_4705_4846,,,0
Suturing_B001_5355_5447,,,0
Suturing_B002_863_1115,,,Anomaly
Suturing_B002_1730_1890,,,Anomaly
Suturing_B002_2482_2772,,,Anomaly
Suturing_B002_3128_3289,,,0
Suturing_B003_523_701,,,Anomaly
Suturing_B003_1206_1394,,,Anomaly
Suturing_B003_1930_2195,,,Anomaly
Suturing_B003_2684_3116,,,Anomaly
Suturing_B004_697_876,,,Anomaly
Suturing_B004_1418_1603,,,Anomaly
Suturing_B004_2187_2326,,,Anomaly
Suturing_B004_2861_3069,,,Anomaly
Suturing_B005_968_1115,,,Anomaly
Suturing_B005_1490_1667,,,Anomaly
Suturing_B005_2090_2234,,,Anomaly
Suturing_B005_2589_2693,,,Anomaly
Suturing_C001_782_854,,,Anomaly
Suturing_C001_1582_1793,,,Anomaly
Suturing_C001_2254_2410,,,Anomaly
Suturing_C001_2783_2987,,,Anomaly
Suturing_C002_786_901,,,Anomaly
Suturing_C002_1506_1685,,,Anomaly
Suturing_C002_2087_2163,,,Anomaly
Suturing_C002_2834_3005,,,0
Suturing_C003_714_829,,,Anomaly
Suturing_C003_1325_1488,,,Anomaly
Suturing_C003_1929_2057,,,Anomaly
Suturing_C003_2505_2818,,,Anomaly
Suturing_C004_459_583,,,Anomaly
Suturing_C004_1074_1199,,,Anomaly
Suturing_C004_1603_1702,,,Anomaly
Suturing_C004_2051_2250,,,Anomaly
Suturing_C005_392_492,,,Anomaly
Suturing_C005_859_1056,,,Anomaly
Suturing_C005_1492_1588,,,Anomaly
Suturing_C005_2189_2271,,,Anomaly
Suturing_D001_542_635,,,0
Suturing_D001_1562_1616,,,0
Suturing_D001_2067_2114,,,0
Suturing_D001_2584_2691,,,0
Suturing_D002_343_427,,,0
Suturing_D002_898_940,,,0
Suturing_D002_1318_1382,,,0
Suturing_D002_1843_1893,,,0
Suturing_D003_418_484,,,0
Suturing_D003_967_1012,,,0
Suturing_D003_1587_1635,,,0
Suturing_D003_2136_2184,,,0
Suturing_D004_478_541,,,0
Suturing_D004_911_1020,,,0
Suturing_D004_1154_1353,,,0
Suturing_D004_1593_1729,,,0
Suturing_D004_2452_2509,,,0
Suturing_D005_403_466,,,0
Suturing_D005_821_875,,,0
Suturing_D005_1250_1336,,,0
Suturing_D005_1626_1678,,,0
Suturing_E001_753_902,,,Anomaly
Suturing_E001_1463_1637,,,Anomaly
Suturing_E001_2037_2347,,,0
Suturing_E001_2921_3076,,,0
Suturing_E002_632_807,,,Anomaly
Suturing_E002_1258_1407,,,Anomaly
Suturing_E002_1771_1911,,,0
Suturing_E002_2363_2471,,,0
Suturing_E003_450_579,,,Anomaly
Suturing_E003_969_1094,,,0
Suturing_E003_1508_1662,,,0
Suturing_E003_2056_2130,,,0
Suturing_E004_538_695,,,Anomaly
Suturing_E004_1122_1261,,,Anomaly
Suturing_E004_1669_1809,,,0
Suturing_E004_1903_1976,,,0
Suturing_E004_2416_2527,,,0
Suturing_E005_364_507,,,Anomaly
Suturing_E005_898_1054,,,Anomaly
Suturing_E005_1418_1552,,,0
Suturing_E005_1878_2006,,,0
Suturing_F001_533_753,,,Anomaly
Suturing_F001_1146_1254,,,Anomaly
Suturing_F001_1702_1801,,,Anomaly
Suturing_F002_428_608,,,Anomaly
Suturing_F002_1041_1128,,,Anomaly
Suturing_F002_1523_1598,,,Anomaly
Suturing_F002_2048_2103,,,0
Suturing_F003_403_489,,,Anomaly
Suturing_F003_878_952,,,Anomaly
Suturing_F003_1398_1484,,,Anomaly
Suturing_F003_1841_1912,,,0
Suturing_F004_417_492,,,Anomaly
Suturing_F004_857_928,,,Anomaly
Suturing_F004_1589_1673,,,Anomaly
Suturing_F004_2062_2145,,,0
Suturing_F005_437_519,,,Anomaly
Suturing_F005_814_865,,,Anomaly
Suturing_F005_1222_1289,,,Anomaly
Suturing_F005_1676_1734,,,Anomaly
Suturing_G001_773_938,,,Anomaly
Suturing_G001_1226_1353,,,0
Suturing_G001_4277_4425,,,Anomaly
Suturing_G001_5847_6253,,,Anomaly
Suturing_G001_7628_7655,,,0
Suturing_G001_8676_8833,,,Anomaly
Suturing_G002_480_697,,,Anomaly
Suturing_G002_1288_1464,,,Anomaly
Suturing_G002_1890_2029,,,Anomaly
Suturing_G002_3011_3159,,,0
Suturing_G003_690_937,,,Anomaly
Suturing_G003_1230_1508,,,Anomaly
Suturing_G003_2706_2830,,,0
Suturing_G003_4821_4974,,,0
Suturing_G004_666_829,,,Anomaly
Suturing_G004_1177_1323,,,Anomaly
Suturing_G004_1753_1855,,,Anomaly
Suturing_G004_2284_2452,,,0
Suturing_G005_446_610,,,Anomaly
Suturing_G005_934_1061,,,Anomaly
Suturing_G005_1563_1749,,,0
Suturing_G005_2149_2274,,,0
Suturing_H001_1463_1635,,,Anomaly
Suturing_H001_2276_2537,,,Anomaly
Suturing_H001_2742_2792,,,Anomaly
Suturing_H001_2952_2995,,,Anomaly
Suturing_H001_3085_3151,,,Anomaly
Suturing_H001_3964_4164,,,Anomaly
Suturing_H001_4976_5194,,,0
Suturing_H003_909_1113,,,Anomaly
Suturing_H003_1709_1873,,,Anomaly
Suturing_H003_2433_2549,,,Anomaly
Suturing_H003_3009_3149,,,0
Suturing_H004_661_816,,,Anomaly
Suturing_H004_1534_2014,,,Anomaly
Suturing_H004_2632_2860,,,Anomaly
Suturing_H004_3567_3780,,,Anomaly
Suturing_H005_620_767,,,Anomaly
Suturing_H005_1430_1667,,,Anomaly
Suturing_H005_2289_2453,,,Anomaly
Suturing_H005_2999_3127,,,0
Suturing_I001_877_1046,,,Anomaly
Suturing_I001_1622_1808,,,Anomaly
Suturing_I001_2508_2642,,,0
Suturing_I001_3814_4026,,,0
Suturing_I002_1106_1370,,,Anomaly
Suturing_I002_2314_2630,,,Anomaly
Suturing_I002_3308_3451,,,Anomaly
Suturing_I002_4210_4324,,,0
Suturing_I003_1251_1387,,,Anomaly
Suturing_I003_2242_2443,,,Anomaly
Suturing_I003_3347_3563,,,Anomaly
Suturing_I003_4026_4169,,,0
Suturing_I004_801_1057,,,Anomaly
Suturing_I004_1127_1163,,,Anomaly
Suturing_I004_1866_2027,,,Anomaly
Suturing_I004_2894_3050,,,Anomaly
Suturing_I004_3553_3621,,,0
Suturing_I005_1199_1364,,,Anomaly
Suturing_I005_1980_2188,,,Anomaly
Suturing_I005_2836_2977,,,Anomaly
Suturing_I005_3565_3658,,,Anomaly
