Demonstration Name,Uses tissue or other instrument for stability,,,Multiple attempts at orienting the needle,,
,Start ,End,Remarks,Start ,End,Remarks
Suturing_B001_371_590,,,0,,,
Suturing_B001_955_1097,,,0,,,
Suturing_B001_1440_1698,,,0,,,
Suturing_B001_4012_4321,,,0,,,
Suturing_B002_204_550,,,Anomaly,,,
Suturing_B004_2430_2564,,,0,,,
Suturing_B005_102_446,,,Anomaly,,,
Suturing_C001_192_305,,,0,,,
Suturing_C001_1040_1191,,,0,,,
Suturing_C002_102_328,,,0,,,
Suturing_C002_1030_1207,,,0,,,
Suturing_C003_151_365,,,0,,,
Suturing_C004_142_257,,,0,,,
Suturing_C005_140_214,,,0,,,
Suturing_C005_1161_1282,,,0,,,
Suturing_D001_197_350,,,0,,,
Suturing_D003_152_217,,,0,,,
Suturing_D004_191_275,,,0,,,
Suturing_D005_135_221,,,0,,,
Suturing_E003_1095_1267,,,0,,,
Suturing_F001_165_215,,,0,,,
Suturing_F002_1_88,,,0,,,
Suturing_F003_89_169,,,0,,,
Suturing_F004_54_134,,,0,,,
Suturing_F005_134_203,,,0,,,
Suturing_G001_150_366,,,0,,,
Suturing_G001_2419_2620,,,Anomaly,,,
Suturing_G001_2855_2990,,,0,,,
Suturing_G001_3112_3509,,,0,,,
Suturing_G001_3647_4096,,,Anomaly,,,
Suturing_G001_5004_5632,,,Anomaly,,,
Suturing_G001_7656_8181,,,Anomaly,,,
Suturing_G002_95_188,,,0,,,
Suturing_G002_2463_2670,,,Anomaly,,,
Suturing_G003_1_406,,,0,,,
Suturing_G003_1993_2174,,,Anomaly,,,
Suturing_G003_3838_4421,,,Anomaly,,,
Suturing_G004_22_416,,,0,,,
Suturing_G005_100_202,,,0,,,
Suturing_H001_318_552,,,Anomaly,,,
Suturing_H003_246_434,,,0,,,
Suturing_H004_194_381,,,0,,,
Suturing_H005_132_320,,,0,,,
Suturing_I001_165_358,,,0,,,
Suturing_I002_146_500,,,0,,,
Suturing_I003_358_654,,,0,,,
Suturing_I004_179_394,,,0,,,
Suturing_I005_242_518,,,0,,,
