Demonstration Name,Suture entangled or left loose ,,,Manipulator Out of view,,
,Start ,End,Remarks,Start ,End,Remarks
Suturing_D001_636_853,,,0,,,
Suturing_D001_1617_1700,,,0,,,
Suturing_D001_2115_2164,,,0,,,
Suturing_D002_428_522,,,Anomaly,,,
Suturing_D002_941_1001,,,Anomaly,,,
Suturing_D002_1383_1489,,,Anomaly,,,
Suturing_D002_1894_1912,,,0,,,
Suturing_D003_485_589,,,Anomaly,,,
Suturing_D003_1013_1240,,,0,,,
Suturing_D003_1636_1689,,,0,,,
Suturing_D003_2185_2226,,,0,,,
Suturing_D004_542_655,,,Anomaly,,,
Suturing_D004_1021_1153,,,Anomaly,,,
Suturing_D004_1730_2039,,,Anomaly,,,
Suturing_D004_2510_2555,,,0,,,
Suturing_D005_467_528,,,Anomaly,,,
Suturing_D005_876_930,,,0,,,
Suturing_D005_1337_1373,,,0,,,
Suturing_D005_1679_1714,,,0,,,
Suturing_E004_1810_1902,,,Anomaly,,,
Suturing_G001_4557_4716,,,Anomaly,,,
Suturing_H003_1114_1162,,,Anomaly,,,
Suturing_H004_991_1022,,,0,,,
Suturing_H004_2015_2059,,,Anomaly,,,
